Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Bhutan;BTN;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2737,993053;2682,309375;2917,579509;3118,963228;3270,74874;3460,461192;3585,362962;3713,29472;3860,347202;4067,465158;4087,830672;4311,446837;4663,127628;4904,510978;5076,315362;5336,77622;5626,054704;6577,431768;6811,933149;7188,859193;7958,226861;8499,354296;8837,576373;8929,046204;9349,044387;9877,247283;10587,57038;10986,88814;11233,78054;11797,2842;10547,05151;10907,85671;
Botswana;BWA;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9164,872072;9569,460418;9570,548957;9476,660738;9550,830775;9956,808322;10280,62663;10880,85265;10689,21679;11474,06472;11462,07915;11262,8989;11725,55962;12054,87438;12166,46704;12494,21685;13287,22541;13783,37942;13945,5986;11729,56521;12653,37065;13250,25113;12975,94786;14144,51812;14665,27232;13682,70418;14373,51925;14656,77299;14962,08111;15117,995;13545,67363;14840,91333;
Central African Republic;CAF;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1200,61339;1157,381663;1049,119415;1019,441006;1036,283901;1080,770061;1010,743889;1035,107458;1054,312973;1062,298258;1007,247834;1028,791408;1042,708645;962,8648368;998,6890997;985,324816;1011,77751;1038,750133;1038,335286;1103,463766;1130,895708;1160,414741;1208,51577;764,0515002;765,259554;795,0370187;818,3959953;839,6000095;854,6474913;861,7667888;847,7650124;837,5046857;
Canada;CAN;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36910,47786;38031,62476;39671,38465;41338,64702;41623,95034;42416,40875;42793,07925;43704,41391;44680,79649;45396,83966;45888,47633;45851,63025;44003,61704;44861,52396;45822,59643;46126,51389;46704,76224;47564,60911;47522,14067;47457,58535;48317,17458;48962,48151;49171,51109;46064,25396;47892,94713;
Central Europe and the Baltics;CEB;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13979,79661;12632,3488;12374,58234;12570,2604;13082,22838;13845,2512;14505,93409;14789,61553;15193,22303;15482,22184;16182,38584;16809,26822;17541,84253;18303,93987;19456,45077;20479,76217;21885,70098;23373,62793;24439,67251;23657,51564;24031,93257;24952,94999;25232,32188;25451,77757;26333,7127;27448,48332;28279,62166;29826,24274;31377,79406;32669,73922;31633,21881;33832,52804;
Switzerland;CHE;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56982,46097;55759,33819;55123,83838;54555,27878;54809,3353;54706,10151;54721,71498;55824,51249;57345,33111;58021,43597;59980,33091;60541,11681;60040,87741;59577,76221;60768,20457;62040,43957;64163,80504;66083,47189;67081,2998;64726,37128;66133,28839;66587,84885;66661,49275;67080,36736;67824,08309;68159,22211;68813,64039;69103,57026;70558,56302;70857,08908;68670,23942;71032,8412;
Channel Islands;CHI;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9701,823791;10290,03966;11256,20948;11812,64938;12221,5077;13122,94634;13825,1562;14652,77519;15074,58011;14855,35718;15415,75429;15725,60116;16053,65461;16636,65375;17571,0248;18415,75499;19339,48762;20140,52965;20695,56256;20255,09878;21225,10386;22323,72308;23467,97873;24011,59101;24197,18328;24464,74566;24599,37463;24546,91242;25071,99007;24816,61108;23017,68936;25449,13065;
China;CHN;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1423,896348;1534,705272;1731,657215;1949,534268;2178,924057;2391,477116;2601,363426;2812,711135;3004,427342;3206,730026;3451,679231;3712,338132;4024,355697;4400,825183;4817,211845;5334,646639;5979,781712;6795,174012;7412,874363;8069,354638;8884,588031;9680,0977;10370,72657;11101,93893;11851,40422;12612,35165;13399,13732;14243,53261;15133,99562;15977,76383;16296,7789;17602,69606;
Cote d'Ivoire;CIV;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4276,705715;4119,784354;3959,561663;3810,04363;3705,75044;3831,715603;3985,402268;4220,485326;4255,175425;4176,597139;4052,981938;3863,166758;3664,519428;3407,978833;3435,280275;3391,711816;3410,997912;3374,847623;3461,711746;3511,292506;3673,181282;3404,524602;3589,421714;3894,515489;4162,024358;4347,777713;4541,194908;4750,936451;4949,614719;5126,634115;5098,559833;5325,030482;
Cameroon;CMR;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3483,186862;3251,755036;3059,792361;2736,282614;2709,080045;2710,938075;2749,520034;2798,577358;2854,370093;2905,131157;2937,991873;2985,577906;3036,767702;3116,15282;3245,495893;3228,361161;3261,451655;3309,282295;3308,319908;3298,407452;3298,624579;3314,898234;3371,975533;3442,200627;3530,283191;3614,755716;3667,322675;3691,094724;3732,501248;3756,509562;3665,510581;3700,464289;
Congo, Dem. Rep.;COD;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1750,169739;1550,763705;1346,747222;1128,593145;1034,123387;998,6883139;969,808663;900,9677964;865,606612;805,2778814;728,2071969;691,7091452;690,6596075;708,0287711;733,541897;754,6644433;769,8871446;792,1908849;815,011857;811,9273452;841,8562872;870,0738056;900,9789904;944,6402475;999,0721335;1032,571865;1021,327198;1023,539833;1048,246447;1059,892111;1044,071214;1073,643271;
Congo, Rep.;COG;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5007,319245;4986,699205;4978,350838;4790,461157;4400,020297;4453,430838;4522,008454;4402,408095;4470,347075;4240,155997;4390,563057;4389,353712;4484,280585;4397,330559;4398,203778;4571,793117;4755,030215;4280,024669;4401,664532;4720,414675;4977,973115;4925,376903;5267,049617;5105,169838;5319,387249;5009,432267;4363,753925;4073,926085;3786,412;3695,061694;3384,654335;3234,392972;
Colombia;COL;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8434,959336;8430,222989;8598,992021;8885,186845;9220,501993;9518,260141;9538,272551;9691,028324;9578,656012;9023,621233;9138,318915;9146,404852;9232,627395;9453,328556;9816,277588;10150,70792;10692,72765;11272,57798;11507,52583;11507,71711;11890,20308;12578,01563;12934,96575;13465,07504;13938,23152;14215,68825;14358,16822;14334,91461;14426,43438;14616,13512;13387,70116;14648,59218;
Comoros;COM;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2922,712252;2695,256074;2856,008564;2876,283755;2666,045372;2703,584351;2611,821747;2659,273978;2636,344308;2633,565756;2863,15185;2871,196853;2878,534359;2881,960707;2881,566744;2905,689183;2923,532301;2888,446634;2942,990846;2976,779454;3025,517384;3084,826585;3115,238033;3185,319697;3183,157031;3150,877624;3185,629664;3240,17917;3294,831972;3290,650527;3222,374089;3228,526858;
Cabo Verde;CPV;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1620,984219;1607,76744;1740,535717;1844,764345;2144,413946;2391,260383;2601,7137;2826,222935;3110,930426;3387,622422;3798,67986;3819,220497;3957,984605;4064,379859;4419,052609;4664,659256;4975,918396;5664,389197;5974,775071;5838,215392;5860,498302;6020,223151;6013,055074;5993,118996;5961,996228;5955,606728;6166,313972;6320,342096;6534,460409;6835,078829;5768,538568;6114,133287;
Costa Rica;CRI;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9810,551307;9781,45993;10416,10885;10882,04915;11100,70901;11290,95958;11182,47935;11532,46272;12092,47581;12343,71085;12570,69609;12771,95077;12986,00068;13333,21726;13713,00835;14049,9094;14864,78142;15861,87458;16385,001;16024,03006;16667,01652;17186,44844;17809,94056;18044,94501;18480,65175;18956,19193;19553,59886;20168,22048;20503,2768;20818,06168;19824,34684;21199,28134;
Caribbean small states;CSS;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10277,02162;10433,21574;10645,15475;10910,18422;11115,904;11326,84064;11586,11802;11907,00852;11951,15384;12391,97419;12729,67847;12923,88875;13304,47144;14007,27005;14488,07697;14893,62396;15812,13545;16266,31342;16393,41113;15767,64343;15905,22112;16025,29636;16431,14489;16610,29683;16852,35738;16764,09539;16341,10653;16175,34053;16257,02292;16358,70233;15049,1987;15768,87941;
Cuba;CUB;GDP per capita, PPP (constant 2017 international $);NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
